aktuálny -  súčasný, nedávny, najnovší, čerstvý, dnešný, moderný, posledný, súdobý, 
jasný -  zreteľný, jednoznačný, žiarivý, zrejmý, lesklý, číry, svetlý, viditeľný, zjavný, očividný, evidentný, rozžiarený, rozoznateľný, badateľný, žiariaci, priehľadný, citeľný, 
jedinečný -  osobitný, unikátny, neobyčajný, exkluzívny, mimoriadny, svojrázny, vybraný, výnimočný, znamenitý, nezrovnateľný, 
kľúčový -  rozhodujúci, akceptovateľný, podstatný, ústredný, hlavný, zásadný, kardinálny, základný, fundamentálny, 
kolosálny -  obrovský, gigantický, veľký, monštruózny, enormný, ohromný, obrovitý, ohromujúci, fenomenálny, 
krásny -  nádherný, neodolateľný, elegantný, rozkošný, ladný, pôsobivý, skvostný, uspokojivý, graciózny, mocný, 
liberálny -  slobodný, tolerantný, slobodomyseľný, nezávislý, voľný, znášanlivý, 
luxusný -  honosný, drahý, prepychový, drahocenný, cenný, vzácny, hodnotný, význačný, 
malý -  drobunký, maličičký, nezreteľný, mikroskopický, nízky, malinký, nevysoký, neveľký, nebadateľný, malučičký, malučký, malilinký, drobný, zanedbateľný, zakrpatený, šťúply, miniatúrny, liliputánsky, nedorastený, nebadaný, škriatkovský, nedostačujúci, primalý, blšací, 
márny -  zbytočný, nezmyselný, neúčelný, neužitočný, bezvýsledný, neúspešný, bezcieľny, bezcenný, bezúčelný, 
miestny -  lokálny, tunajší, tamojší, regionálny, domáci, 
mimoriadny -  nečakaný, jedinečný, výnimočný, nevšedný, neobvyklý, nevídaný, zriedkavý, neobyčajný, nezrovnateľný, exkluzívny, nezvyklý, nezvyčajný, osobitný, 
mizerný -  psí, naničhodný, nepodarený, zlý, mizerný, úbohy, biedny, zatratený, psotný, psovský, chatrný, 
mocný -  vplyvný, robustný, silný, významný, mohutný, dôležitý, pôsobivý, 
morálny -  etický, poctivý, seriózny, mravný, férový, čestný, počestný, bezúhonný, cnostný, slušný, 
mužný -  chlapský, statočný, skončený, odvážny, udatný, chrabrý, nebojácny, mužský, smelý, neohrozený, 
mylný -  vadný, klamný, chybný, nesprávny, špatný, nepresný, nepravdivý, falošný, lživý, mätúci, fantastický, defektný, zdanlivý, nedokonalý, 
naliehavý -  bezodkladný, neodkladný, predpokladaný, akútny, neodbytný, potrebný, súrny, dôležitý, zaviazaný, okamžitý, nástojčivý, nutkavý, nutný, 
nápadný -  význačný, evidentný, výrazný, markantný, viditeľný, jasný, svetochýrny, zjavný, zreteľný, rozoznateľný, okatý, 
napätý -  napnutý, uprený, sústredený, tenzný, koncentrovaný, úzkostný, 
nebezpečný -  ohrozujúci, rizikový, hrozivý, zlý, riskantný, kritický, strašný, 
nekonečný -  večný, bezmedzný, neobmedzený, bezhraničný, rozsiahly, nedozerný, zdĺhavý, úplný, bezmerný, nemenný, nedohľadný, neutíchajúci, 
nenápadný -  nevýrazný, utajený, nevtieravý, všedný, kradmý, jednoduchý, diskrétny, 
neobmedzený -  nekontrolovaný, nevyčerpateľný, nekonečný, neohraničený, nesputnaný, absolútny, nespútaný, nezávislý, obrovitý, bezpodmienečný, úplný, samostatný, stopercentný, široký, zvrchovaný, nevysychavý, totálny, infinitezimálny, 
nepremožiteľný -  nezdolateľný, neporaziteľný, neprekonateľný, nezdolný, nezlomný, nedobytný, 
obradný -  ceremoniálny, jednoduchý, slávnostný, sviatočný, obradový, bohoslužobný, sakramentálny, kultový, formálny, 
podobný -  obdobný, porovnateľný, blízky, zhodný, spríbuznený, príbuzný, korešpondujúci, rovnaký, analogický, 
povestný -  legendárny, svetoznámy, preslávený, chýrny, svetochýrny, známy, slávny, chýrečný, uznávaný, 
pravý -  čistý, hodnoverný, opravdivý, skutočný, ozajstný, pôvodný, originálny, stopercentný, poctivý, konkrétny, pravdivý, nefalšovaný, nepredstieraný, hmatateľný, naozajstný, 
príťažlivý -  pútavý, zvodný, pôvabný, vábivý, lákavý, vábny, 
rozprávkový -  kúzelný, zázračný, čarovný, fantastický, mýtický, vymyslený, neskutočný, bájny, magický, 
živý -  čulý, živučičký, roztopašný, rušný, žijúci, nespútaný, neviazaný, veselý, divý, bujarý, 
